,Event,Date
352,UFC Fight Night: Mousasi vs. Hall 2,"Nov 19, 2016"
353,UFC 205: Alvarez vs. McGregor,"Nov 12, 2016"
354,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,"Nov 5, 2016"
355,UFC Fight Night: Lamas vs. Penn,"Oct 15, 2016"
356,UFC 204: Bisping vs. Henderson 2,"Oct 8, 2016"
357,UFC Fight Night: Lineker vs. Dodson,"Oct 1, 2016"
358,UFC Fight Night: Cyborg vs. Länsberg,"Sep 24, 2016"
359,UFC Fight Night: Poirier vs. Johnson,"Sep 17, 2016"
360,UFC 203: Miocic vs. Overeem,"Sep 10, 2016"
361,UFC Fight Night: Arlovski vs. Barnett,"Sep 3, 2016"
362,UFC on Fox: Maia vs. Condit,"Aug 27, 2016"
363,UFC 202: Diaz vs. McGregor 2,"Aug 20, 2016"
364,UFC Fight Night: Rodríguez vs. Caceres,"Aug 6, 2016"
365,UFC 201: Lawler vs. Woodley,"Jul 30, 2016"
366,UFC on Fox: Holm vs. Shevchenko,"Jul 23, 2016"
367,UFC Fight Night: McDonald vs. Lineker,"Jul 13, 2016"
368,UFC 200: Tate vs. Nunes,"Jul 9, 2016"
369,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"Jul 8, 2016"
370,UFC Fight Night: dos Anjos vs. Alvarez,"Jul 7, 2016"
371,UFC Fight Night: MacDonald vs. Thompson,"Jun 18, 2016"
372,UFC 199: Rockhold vs. Bisping 2,"Jun 4, 2016"
373,UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016"
374,UFC 198: Werdum vs. Miocic,"May 14, 2016"
375,UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016"
376,UFC 197: Jones vs. Saint Preux,"Apr 23, 2016"
377,UFC on Fox: Teixeira vs. Evans,"Apr 16, 2016"
378,UFC Fight Night: Rothwell vs. dos Santos,"Apr 10, 2016"
379,UFC Fight Night: Hunt vs. Mir,"Mar 20, 2016"
380,UFC 196: McGregor vs. Diaz,"Mar 5, 2016"
381,UFC Fight Night: Silva vs. Bisping,"Feb 27, 2016"
382,UFC Fight Night: Cowboy vs. Cowboy,"Feb 21, 2016"
383,UFC Fight Night: Hendricks vs. Thompson,"Feb 6, 2016"
384,UFC on Fox: Johnson vs. Bader,"Jan 30, 2016"
385,UFC Fight Night: Dillashaw vs. Cruz,"Jan 17, 2016"
386,UFC 195: Lawler vs. Condit,"Jan 2, 2016"
387,UFC on Fox: dos Anjos vs. Cowboy 2,"Dec 19, 2015"
388,UFC 194: Aldo vs. McGregor,"Dec 12, 2015"
389,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Dec 11, 2015"
390,UFC Fight Night: Namajunas vs. VanZant,"Dec 10, 2015"
391,UFC Fight Night: Henderson vs. Masvidal,"Nov 28, 2015"
392,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,"Nov 21, 2015"
393,UFC 193: Rousey vs. Holm,"Nov 15, 2015"
394,UFC Fight Night: Belfort vs. Henderson 3,"Nov 7, 2015"
395,UFC Fight Night: Holohan vs. Smolka,"Oct 24, 2015"
396,UFC 192: Cormier vs. Gustafsson,"Oct 3, 2015"
397,UFC Fight Night: Barnett vs. Nelson,"Sep 27, 2015"
398,UFC 191: Johnson vs. Dodson 2,"Sep 5, 2015"
